EmployeeID,Name,Age,Department,Role,Status,Region,City,HireDate,Salary,Performance,Headcount
E0038,Person 38,54,Sales,SDR,Active,North,Detroit,2021-11-11,82567,3.3,1
E0039,Person 39,38,Engineering,Data Engineer,Active,South,Austin,2024-12-14,125646,2.9,1
E0040,Person 40,42,Sales,Account Exec,Active,North,Detroit,2022-07-08,103992,3.8,3
E0041,Person 41,45,Sales,Account Exec,Active,West,Portland,2025-04-22,115218,4.7,0
E0042,Person 42,36,Finance,Controller,On Leave,North,Detroit,2020-12-13,102101,4.2,1
E0043,Person 43,27,Engineering,Data Engineer,On Leave,Central,Dallas,2021-10-28,91378,3.5,2
E0044,Person 44,55,Sales,Account Exec,Active,North,Minneapolis,2021-11-23,76645,3.0,0
E0045,Person 45,24,Sales,SDR,Active,Central,Denver,2021-07-24,101459,3.4,3
E0046,Person 46,56,Marketing,Growth Marketer,Inactive,North,Minneapolis,2020-11-15,112450,3.2,0
E0047,Person 47,26,Sales,SDR,Active,West,Seattle,2022-06-04,91606,3.7,1
E0048,Person 48,29,Engineering,Data Engineer,On Leave,East,New York,2021-07-09,76302,3.8,1
E0049,Person 49,37,Engineering,Software Engineer,Active,East,Boston,2022-12-29,135947,2.9,0
E0050,Person 50,35,Marketing,Growth Marketer,Active,Central,Dallas,2023-01-06,86733,4.4,3
E0051,Person 51,22,Sales,Sales Manager,Active,Central,Dallas,2020-03-30,113223,3.7,0
E0052,Person 52,49,Finance,FP&A,Active,East,New York,2023-09-24,79464,2.9,2
E0053,Person 53,34,Engineering,Software Engineer,Inactive,West,San Francisco,2021-12-16,105935,2.6,0
E0054,Person 54,26,Sales,Account Exec,Active,West,Seattle,2020-02-13,65871,2.6,0
E0055,Person 55,54,Support,Success Manager,Active,North,Minneapolis,2024-12-01,84986,3.1,1
E0056,Person 56,50,Engineering,Staff Engineer,Active,West,San Francisco,2021-07-18,109124,3.6,0
E0057,Person 57,44,Sales,SDR,Active,Central,Dallas,2021-04-05,98652,4.2,1
E0058,Person 58,54,Support,Support Specialist,Active,West,San Francisco,2021-06-06,93289,3.3,1
E0059,Person 59,41,Sales,Sales Manager,On Leave,North,Minneapolis,2020-03-01,87619,4.1,2
E0060,Person 60,42,Support,Support Specialist,Active,South,Austin,2022-03-22,88149,2.8,3
E0061,Person 61,49,Support,Support Specialist,Active,South,Miami,2023-07-22,88665,2.3,1
E0062,Person 62,23,Support,Success Manager,Active,West,San Francisco,2020-07-07,116747,3.9,1
E0063,Person 63,56,Sales,SDR,Active,East,Boston,2023-07-20,83194,2.9,2
E0064,Person 64,55,Operations,Ops Coordinator,Active,South,Atlanta,2020-07-21,118913,4.1,0
E0065,Person 65,51,Support,Success Manager,Active,West,Seattle,2021-05-01,74336,3.6,1
E0066,Person 66,31,Support,Success Manager,Inactive,West,Portland,2020-06-21,79154,4.5,1
E0067,Person 67,25,Engineering,Staff Engineer,Active,East,Boston,2022-09-28,48000,3.8,2
E0068,Person 68,55,Finance,FP&A,Active,Central,Chicago,2024-01-05,87535,4.4,0
E0069,Person 69,40,Sales,SDR,Active,North,Detroit,2020-02-19,59772,3.9,0
E0070,Person 70,27,Engineering,Software Engineer,Active,East,Philadelphia,2023-04-19,105795,4.3,3
E0071,Person 71,29,Support,Success Manager,Active,South,Austin,2021-08-09,88225,3.1,0
E0072,Person 72,50,Sales,SDR,Active,North,Detroit,2023-11-10,67961,4.2,0
E0073,Person 73,42,Sales,Account Exec,Active,Central,Denver,2020-01-18,92158,2.3,0
E0074,Person 74,45,Support,Support Specialist,On Leave,Central,Dallas,2021-06-16,108430,3.9,1
E0075,Person 75,28,Marketing,Content Lead,Inactive,East,Boston,2021-08-11,117129,3.9,0
E0076,Person 76,34,Finance,Analyst,Active,South,Miami,2021-10-22,96582,2.4,1
E0077,Person 77,27,Operations,Ops Coordinator,Active,South,Miami,2021-03-06,119824,3.9,3
E0078,Person 78,57,Marketing,Growth Marketer,Active,North,Detroit,2020-04-24,106178,4.2,0
E0079,Person 79,37,Support,Support Specialist,Active,Central,Chicago,2022-04-25,84784,4.4,2
E0080,Person 80,54,Engineering,Data Engineer,Active,East,New York,2021-03-15,109525,3.1,3
